Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
新世纪 刀锋500,26800,New,Sports car,domestic production,Jiangsu New Century Locomotive Technology Co,inline dual cylinder four stroke water-cooled 500cc,36.7,27/8500,international 6-speed,standard,Not specified,2080x740x1140,810.0,183.0,14.0,150.0,Not specified,Not specified,"Black/Red, Black/Green, White/Red, Black",False,False,False,False,False
摩迪威 800RR,36980,Modiway,Sports car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co,inline four cylinder four stroke water-cooled 800cc,116.9,86/11500,international 6-speed,standard,Not specified,2075x715x1123,830.0,216.0,17.5,195.0,5,Not specified,Not Specified,False,False,False,False,False
摩迪威 800RS,38980,Modiway,Sports car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co,inline four cylinder four stroke water-cooled 800cc,116.9,86/11500,international 6-speed,standard,xx(mm),2075x715x1123,830.0,216.0,17.5,195.0,5,Not specified,"Red, Black, Blue",False,False,False,False,False
摩迪威 800R,37980,Modiway,Street car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co,inline four cylinder four stroke water-cooled 800cc,116.9,86/11500,international 6-speed,standard,Not specified,2090x810x1140,830.0,216.0,17.5,195.0,Not specified,Not specified,"red, black, white",False,False,False,False,False
摩迪威 英伦玛莎250TCS,15390,Modiway,Pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co,single cylinder four stroke water-cooled 250cc,25.2,18.5/8200,CVT continuously variable transmission automatic transmission,standard,Not specified,2000x680x1075,755.0,140.0,12.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
摩迪威 英伦玛莎 Divine 250,15390,Modiway,Pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co,single cylinder four stroke water-cooled 250cc,25.2,18.5/8200,CVT continuously variable transmission automatic transmission,standard,Not specified,2000x680x1075,755.0,140.0,12.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
摩迪威 极狐250,20980,Modiway,Pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co,single cylinder four stroke water-cooled 250cc,25.2,18.5/8200,CVT continuously variable transmission automatic transmission,standard,Not specified,2230x760x1345,720.0,174.0,13.0,95.0,Not specified,Not specified,"Polar White, Matte Black, Sea God Blue, Graphite Grey, New York Gold",False,False,False,False,True
杰迪 Vision K750,Currently no quotation available,Jedi,Sports car,domestic production,Jinan Jiedi Locomotive Technology Co,inline dual cylinder four stroke water-cooled 750cc,81.6,60/8500,international 6-speed,standard,Not specified,2090x775x1090,810.0,206.0,14.0,205.0,4.3,350,rose gold,False,False,False,False,False
杰迪 K333,Currently no quotation available,Jedi,Sports car,domestic production,Not Specified,Not Specified,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
杰迪 FR750,43800,Jedi,Retro,Domestic,Jinan Jiedi Locomotive Technology Co,inline dual cylinder four stroke water-cooled 750cc,81.6,60/8500,international 6-speed,standard,xx(mm),2077x875x1150,795.0,213.0,18.0,185.0,4.3,500,"QT Red/QT Grey, Fresh Green/Matte Silver, Snow Lotus White/QT Red, Matte Military Green/Matte Silver",False,False,False,False,False
杰迪 JD300-9,23800,Jedi,Not Specified,domestic production,Jinan Jiedi Locomotive Technology Co,single cylinder four stroke water-cooled 300cc,27.9,20.5/8500,international 6-speed,standard,Not specified,2137x830x1333,778.0,191.0,20.2,125.0,3.4,600,"Orange/Carbon Fiber Grey, Yellow/Carbon Fiber Grey, Exploration Blue/Pearl White",False,False,False,False,False
杰迪 GT320,25800,Jedi,Not Specified,domestic production,Jinan Jiedi Locomotive Technology Co,single cylinder four stroke water-cooled+oil cooled 320cc,29.9,22/8500,international 5-speed,standard,xx(mm),2137x829x1333,780.0,190.0,20.2,150.0,2.8,450,"Pearl Black, Transparent Red, Snow Lotus White, Sparkling Blue, Blue White",False,False,False,False,False
杰迪 傑750,49800,Jedi,Not Specified,domestic production,Jinan Jiedi Locomotive Technology Co,inline twin cylinder four stroke water-cooled 750cc,68.7,50.5/7500,international 6-speed,standard,xx(mm),2220x875x1260,775.0,223.0,18.0,208.0,4.5,500,"Snow Lotus White, Carbon Fiber Grey, New Turquoise",False,False,False,False,False
杰迪 麒麟750,Currently no quotation available,Jedi,Not Specified,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 750cc,12.6,Not Specified,international 6-speed,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
杰迪 GZ250,15800,Jedi,Cruising crown prince,Domestic,Not Specified,single cylinder four stroke air-cooled 250cc,17.7,13/7500,international 5-speed,standard,xx(mm),2140x850x1380,690.0,170.0,14.0,105.0,2.9,480,"white, orange, red, black",False,False,False,False,False
杰迪 Custom 250,19800,Jedi,Cruising crown prince,Domestic,Not Specified,single cylinder four stroke oil cooled 250cc,17.7,13/7500,international 5-speed,standard,Not specified,2210x820x1060,690.0,170.0,20.0,105.0,2.9,Not specified,"Orange, Bright Black, Matte Black",False,False,False,False,False
爱玛 指挥官A700,5799,Emma,Pedal,domestic,Jiangsu Aima Automotive Technology Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1770x740x1140,770.0,130.0,9.0,55.0,Not Specified,100,"Snow White/Dawn Gold, Bright Moon Silver Grey/Dawn Gold, Meteor Grey/Dawn Gold, Mountain Blue/Dawn Gold, Norwegian Blue/Dawn Gold",True,True,False,True,False
爱玛 指挥官Pro,Currently no quotation available,Emma,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,25.0,Not Specified,Not specified,Not Specified,False,True,True,True,False
爱玛 造梦师,9399,Emma,Mini,Domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1770x750x1040,770.0,117.0,9.0,60.0,Not Specified,80,"Electric Sound Blue/Silver, Starry Sky White/Silver, Dreamweaver Collaboration, Starry Sky Grey/Silver",True,True,False,True,False
爱玛 蛋蛋,6999,Emma,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,25.0,Not Specified,70,"Windsor White/Wizard of Oz Wild Green, Rabbit Powder/Yuan Cai Qin Sweet Powder, Elizabeth/Malt Milk Coffee, Windsor White/Malta Blue",False,True,True,True,False
爱玛 勇士F626,Currently no quotation available,Emma,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
爱玛 开心,6199,Emma,Three wheel,Domestic,Not Specified,Not Specified,0.7,0.5/,Not Specified,Not specified,Not specified,1570x740x1040,770.0,130.0,9.0,95.0,Not Specified,Not specified,"Cheese White/Vibrant magenta, Orange Cup Green/Cream Coffee (B.DUCK), Emma Coffee/Cheese White, Lavender Purple/Mocha Grey, Revival Green/Cream Coffee, Sweet Pink/Cream Coffee, Silk Rice/Mocha Grey",False,True,True,True,True
元图 GP250,19980,yuan,Sports car,domestic production,Chongqing New Sensation Motorcycle Co,inline dual cylinder four stroke water-cooled 250cc,32.0,23.5/11000,international 6-speed,standard,Not specified,2015x745x1150,785.0,170.0,14.0,165.0,Not specified,Not specified,Red Flame Red,False,False,False,False,False
元图 GP325,22980,yuan,Sports car,domestic production,Chongqing New Sensation Motorcycle Co,inline dual cylinder four stroke water-cooled 320cc,40.8,30/10500,international 6-speed,standard,xx(mm),2015x745x1150,795.0,168.0,14.0,170.0,Not specified,Not specified,"Aurora Green, Flame Yellow, Sea Soul Blue",False,False,False,False,False
元元图 GS525,35980,yuan,Tension,domestically produced,Chongqing New Sensation Motorcycle Co,inline dual cylinder four stroke water-cooled 500cc,53.8,39.6/8500,international 6-speed,standard,xx(mm),2220x915x1400,810.0,225.0,21.0,165.0,Not specified,Not specified,"Phantom Grey, Phantom Red",False,False,False,False,False
力腾动力 军刀190(多功能车),15680,Liteng,Bending beam,domestic,Chongqing Construction Electromechanical Co,single cylinder four stroke water-cooled 190cc,20.4,15/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1998x852x1116,780.0,128.0,10.0,120.0,2.6,350,"Polar Grey, Desert Yellow, Snowfield White, Thousand Mountains Green",False,False,False,False,False
新威骑 探路者 RX2000,78000,New,Cruising crown prince,Domestic,Not Specified,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,forward 6-speed+1-speed reverse,standard,Not specified,2320x980x1150,700.0,130.0,18.0,195.0,Not specified,Not specified,"Shadow Black, Bright Moon White, Star Shine Silver, Weiqi Red, Bright Moon White, Shadow Black",False,False,True,False,False
新威骑 漫游者 RL2000,128000,New,Cruising crown prince,Domestic,Not Specified,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,forward 6-speed+1-speed reverse,standard,Not specified,2600x1010x1360,700.0,130.0,18.0,180.0,Not specified,Not specified,"Weiqi Red, Haoyue White, Phantom Black, Starry Silver, Haoyue White, Phantom Black",False,False,True,False,False
新威骑 天行者 WR1000,96000,New,Three wheel,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled 1000cc,81.6,60/7500,CVT continuously variable transmission automatic transmission,standard,xx(mm),2570x1480x1190,620.0,130.0,23.0,95.0,Not specified,Not specified,"Dazzling Shadow Blue Star Shining Silver Phantom Black, Phantom Black, Weiqi Red Star Shining Silver Phantom Black",False,False,True,False,True
新威骑 环游者 VS2000,168000,New,Three wheel,Domestic,Not Specified,"V-type twin cylinder four stroke air-cooled, 2000cc",100.6,74/5050,forward 6-speed+1-speed reverse,standard,Not specified,2425x1725x1150,700.0,130.0,18.0,160.0,Not specified,Not specified,"Weiqi Red, Hao Moon White, Phantom Black, Phantom Black, Star Shine Silver",False,False,True,False,False
大地鹰王 沙尘暴DD150E-2D,10500,Earth,Cruising crown prince,Domestic,Chinese manufacturer Lifeng Group Co,single cylinder four stroke air-cooled 150cc,13.6,10/8500,international 5-speed,none,xx(mm),2250x890x1170,770.0,144.0,14.0,95.0,2.36,Not specified,"black, yellow",False,True,False,False,False
大地鹰王 沙尘暴DD250E-5D,13800,Earth,Cruising crown prince,Domestic,Not Specified,with 255cc,12.6,Not Specified,Not specified,Not Specified,Not specified,2280x895x1150,600.0,160.0,0.0,110.0,Not specified,Not specified,Not Specified,True,False,False,False,False
大地鹰王 街头霸王DD250E-9A,14646,Earth,Cruising crown prince,Domestic,Not Specified,250cc,20.1,14.8/,Not specified,Not Specified,Not specified,2280x875x1110,770.0,180.0,14.0,110.0,3.19,Not specified,Not Specified,False,True,False,False,False
大地鹰王 DD250E-9B,15748,Earth,Cruising crown prince,Domestic,Not Specified,250cc,16.72,12.3/,Not specified,Not Specified,Not specified,2280,770.0,130.0,0.0,110.0,Not specified,Not specified,Not Specified,False,True,True,False,False
大地鹰王 街头霸王DD250E-9D,16800,Earth,Cruising crown prince,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 250cc,20.1,14.8/8500,international 5-speed,none,xx(mm),2275x890x1390,690.0,187.0,14.0,110.0,3.19,Not specified,Not Specified,False,False,False,False,False
大地鹰王 DD250V,17800,Earth,Cruising crown prince,Domestic,Chinese manufacturer Lifeng Group Co,"V-type twin cylinder four stroke air-cooled, 250cc",17.0,12.5/8500,international 5-speed,Not specified,xx(mm),2331x950x1319,735.0,190.0,13.5,115.0,3.19,Not specified,"Black, Red, Air Force Grey",False,False,False,False,False
大地鹰王 街头霸王DD400E-9D,18800,Earth,Cruising crown prince,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 400cc,29.9,22/8500,international 6-speed,none,xx(mm),2250x890x1170,730.0,178.0,14.0,120.0,4.23,Not specified,Not Specified,False,False,False,False,False
大地鹰王 梦马400,25800,Earth,Cruising crown prince,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 400cc,29.9,22/8500,Not specified,Not Specified,xx(mm),2390x840x1125,770.0,189.0,13.0,120.0,4.21,Not specified,"Black, Matte Black, Air Force Grey, Diamond White, Blue",False,True,False,False,False
大地鹰王 迪特娜 DD 350E-6C,Currently no quotation available,Dadi,Cruising crown prince,Domestic,Not Specified,inline dual cylinder four stroke water-cooled 350cc,23.1,17/,international 6-speed,none,xx(mm),2320x930x1120,13.5,190.0,0.0,140.0,Not specified,Not specified,Not Specified,False,False,False,False,False
大地鹰王 轻太子边三轮 DD150B,16800,Earth,Three wheel,Domestic,No. 26 Changjiang Road,single cylinder four stroke air-cooled 150cc,10.9,8/7500,forward 4th gear+reverse gear,Not specified,xx(mm),2055x1605x1140,720.0,219.0,13.5,75.0,2.42,Not specified,"Army Green, Air Force Grey, Black, White, Matte Black, Avocado Green",False,False,False,False,False
大地鹰王 小暴龙边三轮DD250B,23800,Earth,Three wheel,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 250cc,20.1,14.8/8500,forward 5th gear+reverse gear,none,xx(mm),2090x1635x1075,770.0,287.0,18.0,90.0,3.28,Not specified,Not Specified,False,True,False,False,False
大地鹰王 大太子边三轮 DD400B,27800,Earth,Three wheel,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 400cc,29.9,22/8500,forward 5th gear+reverse gear,none,xx(mm),2250x1680x1170,730.0,288.0,18.5,110.0,4.29,Not specified,"Army Green, Air Force Grey, Desert Yellow, Red, Black",False,False,False,False,False
大地鹰王 梦马边三轮DD400B-2,30800,Earth,Three wheel,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 400cc,29.9,22/8500,forward 5th gear+reverse gear,none,xx(mm),2360x1615x1125,730.0,293.0,13.0,90.0,4.05,Not specified,"white, red, blue, black, military green, air force gray, desert yellow, sky blue",False,False,False,False,False
大地鹰王 DD400B-3,31800,Earth,Three wheel,Domestic,Chinese manufacturer Lifeng Group Co,inline dual cylinder four stroke water-cooled 400cc,29.9,22/8500,forward 5-speed+1-speed reverse,Not specified,xx(mm),2275x1700x1390,730.0,301.0,20.0,110.0,4.29,Not specified,"Army Green, Air Force Grey, Black, Desert Yellow",False,False,False,False,False
大地鹰王 小暴龙DD250R,13800,Earth,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,20.1,14.8/,Not specified,Not Specified,Not specified,2070x750x1070,700.0,177.0,18.0,110.0,2.33,770,"Lake Blue, Diamond White, and Matte Black",False,False,False,False,False
大地鹰王 西部风情 DD250G-3N,15800,Earth,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,20.39,15/,Not specified,Not specified,Not specified,2155,770.0,165.0,18.0,120.0,Not specified,Not specified,Not Specified,False,True,False,False,False
大地鹰王 DD 350G 远程之鹰,Currently no quotation available,Dadi,Street car,domestic production,Not Specified,dual cylinder water-cooled 350cc,23.1,17/,Not specified,Not specified,Not specified,Not Specified,770.0,179.0,26.0,125.0,Not specified,Not specified,Not Specified,False,True,False,False,False
大地鹰王 马克KL4500D,19800,Earth,Street car,domestic production,Chinese manufacturer Lifeng Group Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,xx(mm),2015x845x1110,710.0,166.0,9.0,100.0,Not Specified,120,"Red, Yellow, Bright Black, Green, White",True,False,False,True,False
庄威 威风250-2,19999,Zhuangwei,Cruising crown prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co,V-type twin cylinder four stroke water-cooled 250cc,19.0,14/8500,international 6-speed,standard,Not specified,2140x920x1160,730.0,195.0,18.0,128.0,Not specified,450,"black, matte black, red, orange, gray, matte gray, green",False,False,False,False,False
庄威 灵江250,19999,Zhuangwei,Cruising crown prince,Domestic,Zhejiang Yongyuan Motorcycle Manufacturing Co,V-type twin cylinder four stroke water-cooled 250cc,19.0,14/8500,international 6-speed,standard,Not specified,2140x920x1160,730.0,198.0,18.0,128.0,Not specified,Not specified,"black, sub black, red, orange, gray, sub gray, green",False,False,False,False,False
